# idx	time(s)	ANOMALY(d)	R3(AU)	s3x(m)	s3y(m)	s3z(m)
1	432000	-234.172	1.00559	1.4965e+11	1.5266e+10	1.47171e+09
2	864000	-229.302	1.00624	1.47908e+11	2.79331e+10	1.6405e+09
3	1.296e+06	-224.438	1.00684	1.45092e+11	4.03975e+10	1.79738e+09
4	1.728e+06	-219.579	1.0074	1.41226e+11	5.25692e+10	1.94123e+09
5	2.16e+06	-214.726	1.0079	1.36338e+11	6.43609e+10	2.07105e+09
6	2.592e+06	-209.877	1.00834	1.30465e+11	7.56878e+10	2.1859e+09
7	3.024e+06	-205.032	1.00873	1.23652e+11	8.64688e+10	2.285e+09
8	3.456e+06	-200.191	1.00905	1.15948e+11	9.66271e+10	2.36763e+09
9	3.888e+06	-195.352	1.0093	1.07409e+11	1.0609e+11	2.43323e+09
10	4.32e+06	-190.515	1.00948	9.8098e+10	1.1479e+11	2.48134e+09
11	4.752e+06	-185.68	1.0096	8.80819e+10	1.22665e+11	2.51161e+09
12	5.184e+06	-180.846	1.00965	7.74329e+10	1.29658e+11	2.52384e+09
13	5.616e+06	-176.012	1.00963	6.62277e+10	1.3572e+11	2.51795e+09
14	6.048e+06	-171.177	1.00953	5.45467e+10	1.40807e+11	2.49397e+09
15	6.48e+06	-166.341	1.00937	4.24737e+10	1.44882e+11	2.45208e+09
16	6.912e+06	-161.503	1.00914	3.00953e+10	1.47916e+11	2.39255e+09
17	7.344e+06	-156.662	1.00885	1.75004e+10	1.49885e+11	2.31582e+09
18	7.776e+06	-151.819	1.00848	4.77957e+09	1.50775e+11	2.22241e+09
19	8.208e+06	-146.972	1.00806	-7.97574e+09	1.50578e+11	2.11299e+09
20	8.64e+06	-142.12	1.00758	-2.06735e+10	1.49294e+11	1.98831e+09
21	9.072e+06	-137.263	1.00704	-3.32217e+10	1.46931e+11	1.84925e+09
22	9.504e+06	-132.401	1.00646	-4.55294e+10	1.43505e+11	1.69681e+09
23	9.936e+06	-127.533	1.00582	-5.75069e+10	1.39037e+11	1.53206e+09
24	1.0368e+07	-122.659	1.00514	-6.90665e+10	1.3356e+11	1.35617e+09
25	1.08e+07	-117.778	1.00442	-8.01232e+10	1.2711e+11	1.1704e+09
26	1.1232e+07	-112.89	1.00367	-9.05953e+10	1.19732e+11	9.76083e+08
27	1.1664e+07	-107.994	1.0029	-1.00405e+11	1.11479e+11	7.74628e+08
28	1.2096e+07	-103.091	1.0021	-1.09478e+11	1.02409e+11	5.67491e+08
29	1.2528e+07	-98.1795	1.00128	-1.17748e+11	9.25867e+10	3.56183e+08
30	1.296e+07	-93.2601	1.00046	-1.2515e+11	8.20823e+10	1.4225e+08
31	1.3392e+07	-88.3326	0.999626	-1.31627e+11	7.09718e+10	-7.27341e+07
32	1.3824e+07	-83.3969	0.998799	-1.37131e+11	5.93361e+10	-2.87178e+08
33	1.4256e+07	-78.4531	0.997979	-1.41617e+11	4.72602e+10	-4.99488e+08
34	1.4688e+07	-73.5012	0.997174	-1.4505e+11	3.48327e+10	-7.0808e+08
35	1.512e+07	-68.5414	0.99639	-1.47401e+11	2.21455e+10	-9.11386e+08
36	1.5552e+07	-63.5739	0.995631	-1.4865e+11	9.29283e+09	-1.10788e+09
37	1.5984e+07	-58.5989	0.994905	-1.48786e+11	-3.62941e+09	-1.29606e+09
38	1.6416e+07	-53.6169	0.994216	-1.47804e+11	-1.65244e+10	-1.47451e+09
39	1.6848e+07	-48.6282	0.99357	-1.45711e+11	-2.9295e+10	-1.64186e+09
40	1.728e+07	-43.6333	0.992972	-1.4252e+11	-4.18447e+10	-1.79683e+09
41	1.7712e+07	-38.6326	0.992426	-1.38252e+11	-5.40785e+10	-1.93823e+09
42	1.8144e+07	-33.6267	0.991937	-1.32938e+11	-6.59031e+10	-2.06496e+09
43	1.8576e+07	-28.6161	0.991508	-1.26618e+11	-7.72285e+10	-2.17605e+09
44	1.9008e+07	-23.6015	0.991143	-1.19337e+11	-8.79682e+10	-2.27064e+09
45	1.944e+07	-18.5836	0.990844	-1.1115e+11	-9.80398e+10	-2.34799e+09
46	1.9872e+07	-13.563	0.990614	-1.02118e+11	-1.07366e+11	-2.40749e+09
47	2.0304e+07	-8.54041	0.990455	-9.23096e+10	-1.15876e+11	-2.44869e+09
48	2.0736e+07	-3.51658	0.990368	-8.17988e+10	-1.23504e+11	-2.47126e+09
